Cluster	Sample	Cov_ter	Ptr	Diff
bifido_2	N10	4.87681016061659	1.68641844189813	0.162642592499999
bifido_2	N11	26.4456283760606	1.46289275867692	0.0621182499999975
bifido_2	N12	18.3866417871984	1.58963231775962	0.644147125
bifido_2	N13	30.0976354405433	1.59560707334865	0.677144499999997
bifido_2	N14	42.0470693324739	1.57979254451149	0.257646649999998
bifido_2	N15	51.2357811412419	1.57262163482743	0.061497899999992
bifido_2	N16	29.7641261888327	1.56456802072933	1.749641
bifido_bombus	F01	0	NA	NA
bifido_bombus	F02	0	NA	NA
bifido_bombus	F03	0	NA	NA
bifido_bombus	F04	0	NA	NA
bifido_bombus	F06	0	NA	NA
bifido_bombus	F07	0	NA	NA
bifido_bombus	F08	0	NA	NA
bifido_bombus	F09	0	NA	NA
bifido_bombus	F10	0	NA	NA
bifido_bombus	F11	0	NA	NA
bifido_bombus	F12	0	NA	NA
bifido_bombus	F13	0	NA	NA
bifido_bombus	F14	0	NA	NA
bifido_bombus	F15	0	NA	NA
bifido_bombus	F16	0	NA	NA
bifido_bombus	N01	0	NA	NA
bifido_bombus	N02	0	NA	NA
bifido_bombus	N03	0	NA	NA
bifido_bombus	N04	0	NA	NA
bifido_bombus	N06	0	NA	NA
bifido_bombus	N07	0	NA	NA
bifido_bombus	N08	0	NA	NA
bifido_bombus	N09	0	NA	NA
bifido_bombus	N10	0	NA	NA
bifido_bombus	N11	0	NA	NA
bifido_bombus	N12	0	NA	NA
bifido_bombus	N13	0	NA	NA
bifido_bombus	N14	0	NA	NA
bifido_bombus	N15	0	NA	NA
bifido_bombus	N16	0	NA	NA
